67;Centro de Salud Mental de Martutene (Centro Penitenciario);Paseo Martutene, 1, 20014 Donostia / San Sebastián (Gipuzkoa);20014;Donostia / San Sebastián;08:00 - 15:00;Centro de Salud Mental;943442360
68;PAC DE DEUSTO;Luis Power, 18, 48014 Bilbao (Bizkaia);48014;Bilbao;24 horas;PAC;946006666
69;Consultorio de Lanestosa;Plaza Jose María Makua Zarandona, 1, 48895 Lanestosa (Bizkaia);48895;Lanestosa;09:00 - 13:00;Consultorio;946106869
70;Centro de Salud de Mina del Morro;Avenida Indalecio Prieto, 11, 48006 Bilbao (Bizkaia);48006;Bilbao;08:00 - 20:00;Centro de Salud;
71;Centro de Salud de Bermeo;Tonpoi Bidea, 0-A, 48370 Bermeo (Bizkaia);48370;Bermeo;08:00 - 20:00;Centro de Salud;946029050
72;Consultorio de Gamiz;Barrio Ergoien, 62, 48113 Gamiz-Fika (Bizkaia);48113;Gamiz-Fika;09:00 - 13:00;Consultorio;
73;Ambulatorio de Ortuella;Avenida Minero, 1, 48530 Ortuella (Bizkaia);48530;Ortuella;08:00 - 20:00;Ambulatorio;946007630
74;Centro de Salud de Oyón;Fueros, 6, 01320 Oyón-Oion (Álava);01320;Oyón-Oion;08:00 - 20:00;Centro de Salud;945622155
75;Centro de Salud de Zumaia;Barrio Basadi, 15, 20750 Zumaia (Gipuzkoa);20750;Zumaia;08:00 - 20:00;Centro de Salud;
76;Miniresidencia de Bilbao-Begoña;Grupo Begoñalde, 5, 48007 Bilbao (Bizkaia);48007;Bilbao;08:00 - 15:00;Otros;944360471
77;Consultorio de Belauntza;Núcleo Hiriburu, 14, 20491 Belauntza (Gipuzkoa);20491;Belauntza;09:00 - 13:00;Consultorio;943674309
78;Consultorio de Meñaka;Barrio Mesterika, 1, 48120 Meñaka (Bizkaia);48120;Meñaka;09:00 - 13:00;Consultorio;
79;Centro de Salud del Casco Viejo;CORRERIA, 108, 01001 Vitoria-Gasteiz (Álava);01001;Vitoria-Gasteiz;08:00 - 20:00;Centro de Salud;
80;Hospital de Día Ajuriaguerra;Plaza Zumarraga, s/n, 48006 Bilbao (Bizkaia);48006;Bilbao;24 horas;Hospital de Día;944007702
81;Centro de Salud de Zumarraga;Plaza Geltokien plaza, 2, 20700 Zumarraga (Gipuzkoa);20700;Zumarraga;08:00 - 20:00;Centro de Salud;
82;Centro de Salud de Lakua-Arriaga;Julián de Arrese, 5, 01010 Vitoria-Gasteiz (Álava);01010;Vitoria-Gasteiz;08:00 - 20:00;Centro de Salud;
83;Centro de Salud de Igorre;Plaza Sabino Arana, 19, 48140 Igorre (Bizkaia);48140;Igorre;08:00 - 20:00;Centro de Salud;
84;Centro de Salud de Zestoa;Plaza Euskal Herria, 1, 20740 Zestoa (Gipuzkoa);20740;Zestoa;08:00 - 20:00;Centro de Salud;
85;PUNTO DE REFUERZO ZUMARRAGA;Plaza Geltokien plaza, 2, 20700 Zumarraga (Gipuzkoa);20700;Zumarraga;24 horas;PAC;943035220
86;Consultorio de Antzuola;Barrio Sagasti, 0-A, 20577 Antzuola (Gipuzkoa);20577;Antzuola;09:00 - 13:00;Consultorio;943766223
87;Consultorio de Zierbana;Barrio La Cuesta, 0-B, 48508 Zierbena (Bizkaia);48508;Zierbena;09:00 - 13:00;Consultorio;946365511
88;Centro de Salud de Zuia-Murgia;Aiurdin, 6, 01130 Zuia (Álava);01130;Zuia;08:00 - 20:00;Centro de Salud;
89;Centro de Salud de Derio;Gorbea, 1, 48160 Derio (Bizkaia);48160;Derio;08:00 - 20:00;Centro de Salud;
90;Centro de Salud de Santutxu-El Karmelo;Padre Esteban Pernet, 6, 48006 Bilbao (Bizkaia);48006;Bilbao;08:00 - 20:00;Centro de Salud;
91;Consultorio de Zaramillo;Camino Geltoki, 6, 48820 Güeñes (Bizkaia);48820;Güeñes;09:00 - 13:00;Consultorio;
92;PAC DE AMURRIO;Felix Murga, 8-A, 01470 Amurrio (Álava);01470;Amurrio;24 horas;PAC;945025900
93;Consultorio de Maruri;Barrio Erdigune, 70, 48112 Maruri-Jatabe (Bizkaia);48112;Maruri-Jatabe;09:00 - 13:00;Consultorio;
94;Consultorio de Anoeta;Solkorre, 6, 20270 Anoeta (Gipuzkoa);20270;Anoeta;09:00 - 13:00;Consultorio;943652339
95;Consultorio de Abaltzisketa;Núcleo Abaltzisketa, 11, 20269 Abaltzisketa (Gipuzkoa);20269;Abaltzisketa;09:00 - 13:00;Consultorio;943208101
96;Consultorio de Lezama;Barrio Aretxalde, 80, 48196 Lezama (Bizkaia);48196;Lezama;09:00 - 13:00;Consultorio;
97;Consultorio de Moreda de Álava;Las Cuevas, 4, 01322 Moreda de Álava/Moreda Araba (Álava);01322;Moreda de Álava/Moreda Araba;09:00 - 13:00;Consultorio;
98;Consultorio de Armintza;Elizondo, 1, 48620 Lemoiz (Bizkaia);48620;Lemoiz;09:00 - 13:00;Consultorio;
99;Centro de Salud de Zorroza;Carretera Zorrotza-Kastrexana, 20 - Trasera, 48013 Bilbao (Bizkaia);48013;Bilbao;08:00 - 20:00;Centro de Salud;946006880
100;Hospital de Día de Adolescentes;Nicolas Alcorta, 4, 48003 Bilbao (Bizkaia);48003;Bilbao;24 horas;Hospital de Día;946182654
101;Centro de Salud Mental de Santurtzi;Avenida Cristóbal de Murrieta, 70, 48980 Santurtzi (Bizkaia);48980;Santurtzi;08:00 - 15:00;Centro de Salud Mental;944832080
102;Consultorio de Zambrana;Solana, 13, 01212 Zambrana (Álava);01212;Zambrana;09:00 - 13:00;Consultorio;945331258
103;Ambulatorio de Irun Centro;Avenida Gipuzkoa, 15, 20302 Irun (Gipuzkoa);20302;Irun;08:00 - 20:00;Ambulatorio;943006700
104;PAC DE ZARAUTZ;Salbide, 10, 20800 Zarautz (Gipuzkoa);20800;Zarautz;24 horas;PAC;943007999
105;Consultorio de Barriobusto;Plaza Marcelino Martinez, 1, 01322 Oyón-Oion (Álava);01322;Oyón-Oion;09:00 - 13:00;Consultorio;945622155
106;Centro de Salud de Arrigorriaga;Paseo Urgoiti, 10, 48480 Arrigorriaga (Bizkaia);48480;Arrigorriaga;08:00 - 20:00;Centro de Salud;
107;Consultorio de Las Carreras;Kale Nagusia, 2, 48540 Abanto y Ciérvana-Abanto Zierbena (Bizkaia);48540;Abanto y Ciérvana-Abanto Zierbena;09:00 - 13:00;Consultorio;946368543
108;Centro de Salud de Dumboa;Avenida Navarra, 41, 20302 Irun (Gipuzkoa);20302;Irun;08:00 - 20:00;Centro de Salud;943006789
109;C.S. DE LAGUARDIA;Plaza La Carcel, 1, 01300 Laguardia (Álava);01300;Laguardia;24 horas;PAC;945600184
110;Consultorio de Ribera Baja-Rivabellosa;Parrales, 10, 01213 Ribera Baja/Erriberabeitia (Álava);01213;Ribera Baja/Erriberabeitia;09:00 - 13:00;Consultorio;945331258
111;Consultorio de Ikaztegieta;Barrio San Lorentzo, 0-B, 20267 Ikaztegieta (Gipuzkoa);20267;Ikaztegieta;09:00 - 13:00;Consultorio;943203646
112;Centro de Salud Mental de Basauri-Gaztela;Gaztela, 7, 48970 Basauri (Bizkaia);48970;Basauri;08:00 - 15:00;Centro de Salud Mental;946007330
113;Consultorio de Labraza;Plaza Marcelino Martinez, 1, 01322 Oyón-Oion (Álava);01322;Oyón-Oion;09:00 - 13:00;Consultorio;945622155
114;Centro de Salud de La Merced;Luis Iruarrizaga, 1, 48003 Bilbao (Bizkaia);48003;Bilbao;08:00 - 20:00;Centro de Salud;944881515
115;PAC DEL HOSPITAL DE EIBAR;Avenida Otaola, 6, 20600 Eibar (Gipuzkoa);20600;Eibar;24 horas;PAC;943449000
116;Unidad de Atención Intensiva de Día;Paseo Aiete, 27, 20009 Donostia / San Sebastián (Gipuzkoa);20009;Donostia / San Sebastián;08:00 - 15:00;Otros;943217187
117;Centro de Salud de Markina-Xemein;Karmengo, 19, 48270 Markina-Xemein (Bizkaia);48270;Markina-Xemein;08:00 - 20:00;Centro de Salud;
118;Centro de Salud de Lasarte-Oria;Camino Beko Kale, 1, 20160 Lasarte-Oria (Gipuzkoa);20160;Lasarte-Oria;08:00 - 20:00;Centro de Salud;
119;Ambulatorio de Las Arenas;Bidebarrieta, 12, 48930 Getxo (Bizkaia);48930;Getxo;08:00 - 20:00;Ambulatorio;
120;Ambulatorio de Zaballa;Munibe, 2, 48901 Barakaldo (Bizkaia);48901;Barakaldo;08:00 - 20:00;Ambulatorio;946007844
121;Consultorio de Barrika;Carretera Ayuntamiento, 4, 48650 Barrika (Bizkaia);48650;Barrika;09:00 - 13:00;Consultorio;
122;Consultorio de Errezil;Núcleo Errezil, 18, 20737 Errezil (Gipuzkoa);20737;Errezil;09:00 - 13:00;Consultorio;
123;Consultorio de Irura;Pello Arrese-Igor, 1, 20270 Irura (Gipuzkoa);20270;Irura;09:00 - 13:00;Consultorio;943444933
124;Centro de Salud Mental de Erandio;Ibarrondo, 0-A, 48950 Erandio (Bizkaia);48950;Erandio;08:00 - 15:00;Centro de Salud Mental;946007148
125;Consultorio de Zerain;Núcleo Zerain, 12-B, 20214 Zerain (Gipuzkoa);20214;Zerain;09:00 - 13:00;Consultorio;
126;Consultorio de Aperribai;Barrio Aperribai, 20-A, 48960 Galdakao (Bizkaia);48960;Galdakao;09:00 - 13:00;Consultorio;
127;Consultorio de Bedia;Barrio Elexalde, 4, 48390 Bedia (Bizkaia);48390;Bedia;09:00 - 13:00;Consultorio;
128;Ambulatorio de Amara Berri;Javier Barkaiztegi, 2, 20010 Donostia / San Sebastián (Gipuzkoa);20010;Donostia / San Sebastián;08:00 - 20:00;Centro de Salud;
129;Consultorio de Segura;Kale Nagusia, 9, 20214 Segura (Gipuzkoa);20214;Segura;09:00 - 13:00;Consultorio;
130;Consultorio de Sopuerta-Mercadillo;Urbanización Llantada, 1, 48190 Sopuerta (Bizkaia);48190;Sopuerta;09:00 - 13:00;Consultorio;946104848
131;Consultorio de Zegama;Olaran, 2, 20215 Zegama (Gipuzkoa);20215;Zegama;09:00 - 13:00;Consultorio;
132;Hospital de Día de Barakaldo 1;Etxatxu, 35, 48902 Barakaldo (Bizkaia);48902;Barakaldo;24 horas;Hospital de Día;946552575
133;C.S. DE IRUÑA DE OCA;Parque Tres de Marzo, 1, 01230 Iruña Oka/Iruña de Oca (Álava);01230;Iruña Oka/Iruña de Oca;24 horas;PAC;945371120
