480955;LOIZAGA DIAZ Miren Josune ;Hermanos Maristas Etorbidea/Avenida 10;48860;ZALLA;0;946390080
480953;RUIZ GOLVANO Jon ;Bidezahar Kalea/Calle 14;48340;AMOREBIETA-ETXANO;0;946308356
480968;ROUCO CARMONA Iria ;Balejo Kalea/Calle 5;48903;BARAKALDO;0;944997842
480927;URQUIJO JUAREZ Ziortza ;Zubieta Etorbidea/Avenida 2;48410;OROZKO;0;946610076
480924;URRUZUNO ALONSO FERNANDO ;Kantoipe Kalea/Calle 12;48700;ONDARROA;0;946833511
480925;GUTIERREZ ARTETXE Iban ;Txiki Otaegi Kalea/Calle 3;48340;AMOREBIETA-ETXANO;0;946731432
480928;ACARREGUI MOYA Amaia ;Juan Tomás de Gandarias Kalea/Calle 12;48910;SESTAO;1;944960454
480929;URRUZUNO ALONSO Gorka ;Lubarrietaondo Auzategia/Barrio 50;48110;GATIKA;0;946151054
480926;ANSOLEAGA YARRITU Teresa ;Itsasbide Kalea/Calle 5;48630;GORLIZ;0;946775452
480930;DIAZ COLORADO MARIA JOSE ;Anteiglesia Plaza/Plaza 13;48902;BARAKALDO;1;944372915
480931;AZAGRA GARDE María ;Iparbide Kalea/Calle 7;48991;GETXO;1;944305052
480932;DIAZ RAMON Ruth Lucia ;Etxegorri Kalea/Calle 3;48950;ERANDIO;0;944170291
480935;GOYARROLA EGUIRAUN Juan GOYARROLA EGUIRAUN María;Hurtado de Amezaga Kalea/Calle 10;48008;BILBAO;0;944155716
480956;ZARATE LARREA Susana SANTIN ABELEDO Silvia;Urazurrutia Kalea/Calle 2;48003;BILBAO;0;944156250
480962;AGUIRRE MORAN Carlos ;Concordia 1900Go Alkartasuna Kalea/Calle 8;48100;MUNGIA;0;946740233
480960;PEREZ IRAETA Alaitz ;Dendakale Kalea/Calle 4;48287;EA;0;946275207
480959;OSA LARRUZEA Ioana ;Sabin Arana Kalea/Calle 2;48700;ONDARROA;0;946830790
480963;SENZ URRUTIA Iban ;Urquijo Zumardia/Alameda 71;48013;BILBAO;1;944417197
480961;CARAMES ESTEFANÍA Marta ;Mugakoa Kalea/Calle 9;48920;PORTUGALETE;1;944612933
010116;SARRIA QUIROGA Mª Gloria ;Iturrieta Kalea/Calle 2;01200;AGURAIN/SALVATIERRA;0;945310215
480964;MADARIAGA UGALDE Mikel ;Monte Izaro Kalea/Calle 3;48007;BILBAO;1;944452146
480966;RAMOS SAIZ Eva ;Sabino Arana Etorbidea/Avenida 20;48940;LEIOA;0;946124235
480958;ARISTEGUI ECHAVE Laura ;Julián Gaiarre Etorbidea/Avenida 62;48004;BILBAO;0;944 97 98 23
480967;MORELLO MENCHACA Jon Iñaki ;Larrakotorre Kalea/Calle 1;48015;BILBAO;1;944475276
480970;CORREA HERNANDEZ Sofia Ximena ;Ayuntamiento Errepidea/Carretera 2;48650;BARRIKA;0;946774716
480965;SARRIA QUIROGA Itziar ;Sasikoa Kalea/Calle 17;48200;DURANGO;1;946002804
480949;EGUILEOR VALLEJO Laura ;Santa Eulalia Kalea/Calle 15;48980;SANTURTZI;1;944834069
480946;BURGUEÑA MORENO Tamara ;Encartaciones Etorbidea/Avenida 24;48800;BALMASEDA;1;946566767
480947;ARRIOLA ARACIL Angela ARRIOLA ARACIL Pablo;Amaia Kalea/Calle 29;48930;GETXO;1;944805328
